scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
91;1747,5;1130;211,7;50;575;34,95;33,9;4,4457;29,7
92;1747,5;1130;211,7;50;1150;34,95;33,9;4,4457;59,3
93;1747,5;1130;211,7;50;1725;34,95;33,9;4,4457;89
94;1747,5;1130;211,7;100;575;34,95;33,9;4,4457;29,7
95;1747,5;1130;211,7;100;1150;34,95;33,9;4,4457;59,3
96;1747,5;1130;211,7;100;1725;34,95;33,9;4,4457;89
97;1747,5;1130;211,7;150;575;34,95;33,9;4,4457;29,7
98;1747,5;1130;211,7;150;1150;34,95;33,9;4,4457;59,3
99;1747,5;1130;211,7;150;1725;34,95;33,9;4,4457;89
100;1747,5;1130;317,55;50;575;34,95;33,9;8,8893;29,7
101;1747,5;1130;317,55;50;1150;34,95;33,9;8,8893;59,3
102;1747,5;1130;317,55;50;1725;34,95;33,9;8,8893;89
103;1747,5;1130;317,55;100;575;34,95;33,9;8,8893;29,7
104;1747,5;1130;317,55;100;1150;34,95;33,9;8,8893;59,3
105;1747,5;1130;317,55;100;1725;34,95;33,9;8,8893;89
106;1747,5;1130;317,55;150;575;34,95;33,9;8,8893;29,7
107;1747,5;1130;317,55;150;1150;34,95;33,9;8,8893;59,3
108;1747,5;1130;317,55;150;1725;34,95;33,9;8,8893;89
109;1747,5;1130;423,4;50;575;34,95;33,9;8,8893;29,7
110;1747,5;1130;423,4;50;1150;34,95;33,9;8,8893;59,3
111;1747,5;1130;423,4;50;1725;34,95;33,9;8,8893;89
112;1747,5;1130;423,4;100;575;34,95;33,9;8,8893;29,7
113;1747,5;1130;423,4;100;1150;34,95;33,9;8,8893;59,3
114;1747,5;1130;423,4;100;1725;34,95;33,9;8,8893;89
115;1747,5;1130;423,4;150;575;34,95;33,9;8,8893;29,7
116;1747,5;1130;423,4;150;1150;34,95;33,9;8,8893;59,3
117;1747,5;1130;423,4;150;1725;34,95;33,9;8,8893;89
118;1747,5;1130;529,25;50;575;34,95;33,9;8,8893;29,7
119;1747,5;1130;529,25;50;1150;34,95;33,9;8,8893;59,3
120;1747,5;1130;529,25;50;1725;34,95;33,9;8,8893;89
121;1747,5;1130;529,25;100;575;34,95;33,9;8,8893;29,7
122;1747,5;1130;529,25;100;1150;34,95;33,9;8,8893;59,3
123;1747,5;1130;529,25;100;1725;34,95;33,9;8,8893;89
124;1747,5;1130;529,25;150;575;34,95;33,9;8,8893;29,7
125;1747,5;1130;529,25;150;1150;34,95;33,9;8,8893;59,3
126;1747,5;1130;529,25;150;1725;34,95;33,9;8,8893;89
127;1747,5;1130;635,1;50;575;34,95;33,9;13,335;29,7
128;1747,5;1130;635,1;50;1150;34,95;33,9;13,335;59,3
129;1747,5;1130;635,1;50;1725;34,95;33,9;13,335;89
130;1747,5;1130;635,1;100;575;34,95;33,9;13,335;29,7
131;1747,5;1130;635,1;100;1150;34,95;33,9;13,335;59,3
132;1747,5;1130;635,1;100;1725;34,95;33,9;13,335;89
133;1747,5;1130;635,1;150;575;34,95;33,9;13,335;29,7
134;1747,5;1130;635,1;150;1150;34,95;33,9;13,335;59,3
135;1747,5;1130;635,1;150;1725;34,95;33,9;13,335;89
136;2330;1130;211,7;50;575;46,6;33,9;4,4457;29,7
137;2330;1130;211,7;50;1150;46,6;33,9;4,4457;59,3
138;2330;1130;211,7;50;1725;46,6;33,9;4,4457;89
139;2330;1130;211,7;100;575;46,6;33,9;4,4457;29,7
140;2330;1130;211,7;100;1150;46,6;33,9;4,4457;59,3
141;2330;1130;211,7;100;1725;46,6;33,9;4,4457;89
142;2330;1130;211,7;150;575;46,6;33,9;4,4457;29,7
143;2330;1130;211,7;150;1150;46,6;33,9;4,4457;59,3
144;2330;1130;211,7;150;1725;46,6;33,9;4,4457;89
145;2330;1130;317,55;50;575;46,6;33,9;8,8893;29,7
146;2330;1130;317,55;50;1150;46,6;33,9;8,8893;59,3
147;2330;1130;317,55;50;1725;46,6;33,9;8,8893;89
148;2330;1130;317,55;100;575;46,6;33,9;8,8893;29,7
149;2330;1130;317,55;100;1150;46,6;33,9;8,8893;59,3
150;2330;1130;317,55;100;1725;46,6;33,9;8,8893;89
151;2330;1130;317,55;150;575;46,6;33,9;8,8893;29,7
152;2330;1130;317,55;150;1150;46,6;33,9;8,8893;59,3
153;2330;1130;317,55;150;1725;46,6;33,9;8,8893;89
154;2330;1130;423,4;50;575;46,6;33,9;8,8893;29,7
155;2330;1130;423,4;50;1150;46,6;33,9;8,8893;59,3
156;2330;1130;423,4;50;1725;46,6;33,9;8,8893;89
157;2330;1130;423,4;100;575;46,6;33,9;8,8893;29,7
158;2330;1130;423,4;100;1150;46,6;33,9;8,8893;59,3
159;2330;1130;423,4;100;1725;46,6;33,9;8,8893;89
160;2330;1130;423,4;150;575;46,6;33,9;8,8893;29,7
161;2330;1130;423,4;150;1150;46,6;33,9;8,8893;59,3
162;2330;1130;423,4;150;1725;46,6;33,9;8,8893;89
163;2330;1130;529,25;50;575;46,6;33,9;8,8893;29,7
164;2330;1130;529,25;50;1150;46,6;33,9;8,8893;59,3
165;2330;1130;529,25;50;1725;46,6;33,9;8,8893;89
166;2330;1130;529,25;100;575;46,6;33,9;8,8893;29,7
167;2330;1130;529,25;100;1150;46,6;33,9;8,8893;59,3
168;2330;1130;529,25;100;1725;46,6;33,9;8,8893;89
169;2330;1130;529,25;150;575;46,6;33,9;8,8893;29,7
170;2330;1130;529,25;150;1150;46,6;33,9;8,8893;59,3
171;2330;1130;529,25;150;1725;46,6;33,9;8,8893;89
172;2330;1130;635,1;50;575;46,6;33,9;13,335;29,7
173;2330;1130;635,1;50;1150;46,6;33,9;13,335;59,3
174;2330;1130;635,1;50;1725;46,6;33,9;13,335;89
175;2330;1130;635,1;100;575;46,6;33,9;13,335;29,7
