scen;Production;Storage
266;0,7780;0,1334
267;0,7963;0,1258
268;0,7812;0,1285
269;0,7830;0,1285
270;0,7939;0,1280
271;0,6730;0,2263
272;0,6786;0,2206
273;0,6953;0,2138
274;0,6634;0,2372
275;0,6658;0,2336
276;0,6836;0,2273
277;0,6683;0,2316
278;0,6626;0,2391
279;0,6823;0,2300
280;0,7058;0,2035
281;0,7093;0,1991
282;0,7234;0,1939
283;0,7096;0,1981
284;0,7032;0,2054
285;0,7192;0,1982
286;0,7185;0,1870
287;0,7236;0,1827
288;0,7327;0,1816
289;0,7498;0,1628
290;0,7461;0,1649
291;0,7657;0,1546
292;0,7475;0,1635
293;0,7445;0,1668
294;0,7611;0,1596
295;0,7578;0,1508
296;0,7557;0,1529
297;0,7694;0,1488
298;0,7724;0,1428
299;0,7714;0,1432
300;0,7868;0,1368
301;0,7709;0,1436
302;0,7691;0,1439
303;0,7881;0,1353
304;0,7781;0,1340
305;0,7762;0,1355
306;0,7949;0,1254
307;0,7936;0,1237
308;0,7888;0,1274
309;0,8054;0,1201
310;0,7891;0,1275
311;0,7865;0,1285
312;0,8035;0,1219
313;0,7885;0,1271
314;0,7905;0,1245
315;0,7756;0,1198
